"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jml_utp_usaha_total_1_2_ternak";"jml_utp_usaha_total_3_4_ternak";"jml_utp_usaha_total_5_9_ternak";"jml_utp_usaha_total_10_19_ternak";"jml_utp_usaha_total_20_49_ternak";"jml_utp_usaha_total_50_99_ternak";"jml_utp_usaha_total_100_199_ternak";"jml_utp_usaha_total_200_499_ternak";"jml_utp_usaha_total_500_or_more_ternak"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310010] PAGA";"53";"5310";"5310010";"10";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310011] MEGO";"53";"5310";"5310011";"31";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310012] TANA WAWO";"53";"5310";"5310012";"9";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310020] LELA";"53";"5310";"5310020";"15";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310030] BOLA";"53";"5310";"5310030";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310031] DORENG";"53";"5310";"5310031";"7";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310032] MAPITARA";"53";"5310";"5310032";"22";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310041] WAIGETE";"53";"5310";"5310041";"4";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310050] KEWAPANTE";"53";"5310";"5310050";"4";"0";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310052] KANGAE";"53";"5310";"5310052";"15";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310062] KOTING";"53";"5310";"5310062";"5";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310063] NELLE";"53";"5310";"5310063";"7";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310070] NITA";"53";"5310";"5310070";"28";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310071] MAGEPANDA";"53";"5310";"5310071";"60";"10";"2";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310080] ALOK";"53";"5310";"5310080";"8";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310081] ALOK BARAT";"53";"5310";"5310081";"12";"3";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4102";"[5310] SIKKA";"53";"5310";"5310999";"250";"25";"3";"2";"0";"0";"0";"0";"0"
