"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_tangkap_ikan_di_laut";"n_rtup_tangkap_ikan_di_laut_pakai_alat_jaring_lingkar";"n_rtup_tangkap_ikan_di_laut_pakai_alat_pukat_tarik";"n_rtup_tangkap_ikan_di_laut_pakai_alat_pukat_hela";"n_rtup_tangkap_ikan_di_laut_pakai_alat_penggaruk";"n_rtup_tangkap_ikan_di_laut_pakai_alat_jaring_angkat";"n_rtup_tangkap_ikan_di_laut_pakai_alat_alat_yg_dijatuhkan";"n_rtup_tangkap_ikan_di_laut_pakai_alat_jaring_insang";"n_rtup_tangkap_ikan_di_laut_pakai_alat_perangkap";"n_rtup_tangkap_ikan_di_laut_pakai_alat_pancing";"n_rtup_tangkap_ikan_di_laut_pakai_alat_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"114";"8";"15";"0";"0";"3";"1";"34";"0";"53";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"13";"9";"0";"0";"0";"1";"2";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"124";"3";"26";"0";"0";"11";"0";"0";"3";"43";"39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"58";"11";"15";"0";"0";"4";"0";"0";"1";"20";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"11";"0";"2";"0";"0";"0";"0";"0";"0";"6";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"20";"0";"2";"0";"0";"0";"0";"0";"15";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"693";"102";"24";"2";"0";"10";"6";"17";"0";"491";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"153";"13";"13";"8";"0";"12";"0";"18";"0";"66";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"8";"1";"1";"0";"0";"0";"0";"0";"0";"1";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"79";"5";"54";"0";"0";"0";"0";"0";"0";"17";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"67";"1";"6";"1";"0";"0";"0";"31";"0";"15";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"168";"42";"35";"4";"0";"0";"0";"0";"13";"43";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"186";"3";"12";"14";"0";"3";"0";"0";"2";"141";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"552";"14";"14";"3";"0";"3";"0";"0";"0";"444";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"730";"212";"15";"102";"0";"1";"2";"1";"1";"390";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"502";"23";"91";"0";"0";"3";"0";"19";"5";"329";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3480";"447";"326";"134";"0";"51";"11";"120";"40";"2063";"349"
