"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pengelola_kehutanan_laki";"n_pengelola_kehutanan_perempuan";"jml_pengelola_kehutanan";"n_pengelola_budidaya_tanaman_kehutanan_laki";"n_pengelola_budidaya_tanaman_kehutanan_perempuan";"jml_pengelola_budidaya_tanaman_kehutanan";"n_pengelola_pembibitan_tanaman_kehutanan_laki";"n_pengelola_pembibitan_tanaman_kehutanan_perempuan";"jml_pengelola_pembibitan_tanaman_kehutanan";"n_pengelola_tangkar_tumbuhan_or_satwa_liar_laki";"n_pengelola_tangkar_tumbuhan_or_satwa_liar_perempuan";"jml_pengelola_tangkar_tumbuhan_or_satwa_liar";"n_pengelola_tangkar_satwa_liar_laki";"n_pengelola_tangkar_satwa_liar_perempuan";"jml_pengelola_tangkar_satwa_liar";"n_pengelola_tangkar_tumbuhan_liar_laki";"n_pengelola_tangkar_tumbuhan_liar_perempuan";"jml_pengelola_tangkar_tumbuhan_liar";"n_pengelola_buru_dan_tangkap_satwa_liar_laki";"n_pengelola_buru_dan_tangkap_satwa_liar_perempuan";"jml_pengelola_buru_dan_tangkap_satwa_liar";"n_pengelola_pemungutan_hasil_hutan_laki";"n_pengelola_pemungutan_hasil_hutan_perempuan";"jml_pengelola_pemungutan_hasil_hutan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"384";"101";"485";"382";"101";"483";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"376";"38";"414";"375";"38";"413";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"495";"60";"555";"494";"60";"554";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"79";"8";"87";"78";"8";"86";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"376";"147";"523";"373";"146";"519";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"6";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"277";"41";"318";"277";"41";"318";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"90";"1";"91";"90";"1";"91";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1767";"451";"2218";"1757";"450";"2207";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"14";"11";"1";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"752";"159";"911";"738";"157";"895";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"14";"1";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"477";"79";"556";"477";"79";"556";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"324";"101";"425";"324";"101";"425";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"742";"184";"926";"742";"184";"926";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"452";"213";"665";"451";"212";"663";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"5";"2";"7";"5";"2";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"223";"44";"267";"223";"44";"267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"195";"55";"250";"195";"55";"250";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"893";"209";"1102";"892";"208";"1100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"151";"35";"186";"140";"32";"172";"3";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"8";"2";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"49";"11";"60";"48";"11";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
