"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_tanaman_1Mei2023";"n_rtup_usaha_komoditas";"n_utp_usaha_komoditas";"rerata_jml_tanaman_yg_diusahakan_per_rtup_komoditas";"rerata_jml_tanaman_yg_diusahakan_per_utp_komoditas"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6101";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6102";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6103";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6104";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6105";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6106";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6107";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6108";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6109";"[5310010] PAGA";"53";"5310";"5310010";"10.00";"3.00";"3.00";"3.00";"3.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6110";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6111";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6112";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6113";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6114";"[5310010] PAGA";"53";"5310";"5310010";"0.00";"0.00";"0.00";"0.00";"0.00"
