"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_hutan_sistem_panen_sendiri";"n_utp_budidaya_tanaman_hutan_sistem_panen_sendiri";"nilai_produksi_kayu";"nilai_produksi_non_kayu";"total_nilai_produksi";"rerata_produksi_per_rtup";"rerata_produksi_per_utp";"total_produksi_kayu_dan_non_kayu"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"26.00";"27.00";"175.70";"0.72";"176.42";"6785.38";"6534.07";"176.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"37.00";"37.00";"434.01";"0.30";"434.31";"11738.24";"11738.24";"434.31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"48.00";"48.00";"38.85";"14.82";"53.67";"1118.23";"1118.23";"53.67"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"10.00";"10.00";"8.30";"2.65";"10.95";"1095.00";"1095.00";"10.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"29.00";"29.00";"27.70";"6.51";"34.21";"1179.66";"1179.66";"34.21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"38.00";"39.00";"158.50";"5.20";"163.70";"4307.89";"4197.44";"163.70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"5.00";"5.00";"7.20";"0.00";"0.00";"0.00";"0.00";"7.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"138.00";"139.00";"876.21";"10.57";"886.78";"6425.91";"6379.68";"886.77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"71.00";"71.00";"130.00";"4015.03";"4145.03";"58380.77";"58380.77";"4145.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"54.00";"55.00";"249.95";"13.70";"263.65";"4882.41";"4793.64";"263.65"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"37.00";"37.00";"90.15";"12.88";"103.04";"2784.73";"2784.73";"103.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"58.00";"59.00";"99.70";"14.26";"113.96";"1964.83";"1931.53";"113.96"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"179.00";"180.00";"130.30";"68.53";"198.83";"1110.79";"1104.62";"198.83"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"67.00";"67.00";"49.80";"59.55";"109.35";"1632.16";"1632.16";"109.36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"187.00";"187.00";"22.20";"208.54";"230.74";"1233.92";"1233.92";"230.74"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"86.00";"86.00";"302.46";"12.68";"315.14";"3664.42";"3664.42";"315.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"28.00";"28.00";"170.45";"2.33";"172.78";"6170.57";"6170.57";"172.78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"8.00";"8.00";"37.80";"0.15";"37.95";"4743.75";"4743.75";"37.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1.00";"1.00";"2.00";"0.00";"0.00";"0.00";"0.00";"2.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"96.00";"97.00";"156.84";"162.76";"319.60";"3329.20";"3294.88";"319.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"1203.00";"1210.00";"3168.12";"4611.20";"7779.32";"6466.60";"6429.19";"7779.32"
