"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_utp_budidaya_tanaman_kehutanan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310010] PAGA";"53";"5310";"5310010";"15";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310011] MEGO";"53";"5310";"5310011";"21";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310012] TANA WAWO";"53";"5310";"5310012";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310020] LELA";"53";"5310";"5310020";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310030] BOLA";"53";"5310";"5310030";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310031] DORENG";"53";"5310";"5310031";"20";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310040] TALIBURA";"53";"5310";"5310040";"88";"89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310041] WAIGETE";"53";"5310";"5310041";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310042] WAIBLAMA";"53";"5310";"5310042";"32";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310050] KEWAPANTE";"53";"5310";"5310050";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310052] KANGAE";"53";"5310";"5310052";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310061] PALUE";"53";"5310";"5310061";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310062] KOTING";"53";"5310";"5310062";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310063] NELLE";"53";"5310";"5310063";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310070] NITA";"53";"5310";"5310070";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310080] ALOK";"53";"5310";"5310080";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310] SIKKA";"53";"5310";"5310999";"258";"262"
