"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_terima_penyuluhan";"n_utp_terima_penyuluhan_sektor_tanaman_pangan";"n_utp_terima_penyuluhan_sektor_hortikultura";"n_utp_terima_penyuluhan_sektor_perkebunan";"n_utp_terima_penyuluhan_sektor_peternakan";"n_utp_terima_penyuluhan_sektor_perikanan";"n_utp_terima_penyuluhan_sektor_kehutanan";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"184";"117";"98";"69";"26";"8";"8";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"359";"227";"81";"224";"83";"1";"109";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"544";"390";"255";"475";"51";"2";"72";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"114";"19";"71";"51";"20";"7";"7";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"129";"21";"23";"58";"26";"9";"35";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"153";"34";"58";"74";"35";"4";"53";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"25";"4";"7";"2";"1";"0";"14";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"864";"744";"419";"616";"266";"65";"179";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"664";"268";"132";"280";"109";"41";"207";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"484";"368";"191";"265";"204";"16";"195";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"222";"201";"127";"77";"46";"6";"5";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"170";"71";"83";"139";"71";"5";"26";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"235";"205";"32";"36";"17";"4";"7";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"271";"262";"10";"165";"44";"49";"3";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"176";"94";"83";"124";"35";"3";"4";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"215";"204";"73";"58";"68";"2";"4";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"553";"202";"365";"282";"84";"5";"14";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"194";"173";"147";"88";"50";"29";"14";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"103";"89";"65";"55";"12";"2";"1";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"354";"254";"217";"167";"169";"91";"4";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"121";"85";"5";"15";"34";"14";"5";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"6134";"4032";"2542";"3320";"1451";"363";"966";"53688"
