"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_terima_penyuluhan";"n_rtup_terima_penyuluhan_sektor_tanaman_pangan";"n_rtup_terima_penyuluhan_sektor_hortikultura";"n_rtup_terima_penyuluhan_sektor_perkebunan";"n_rtup_terima_penyuluhan_sektor_peternakan";"n_rtup_terima_penyuluhan_sektor_perikanan";"n_rtup_terima_penyuluhan_sektor_kehutanan";"n_rtup_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"179";"115";"95";"68";"26";"8";"8";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"357";"226";"81";"223";"83";"1";"109";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"544";"390";"255";"475";"51";"2";"72";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"112";"19";"69";"51";"20";"7";"7";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"129";"21";"23";"58";"26";"9";"35";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"152";"34";"58";"74";"35";"4";"52";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"23";"4";"6";"2";"1";"0";"13";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"816";"697";"396";"581";"240";"64";"170";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"632";"261";"127";"269";"106";"41";"194";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"472";"356";"181";"254";"195";"16";"194";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"220";"199";"125";"76";"45";"6";"5";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"166";"69";"81";"136";"69";"5";"26";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"233";"203";"32";"36";"17";"4";"7";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"265";"257";"10";"162";"44";"48";"3";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"176";"94";"83";"124";"35";"3";"4";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"214";"203";"73";"58";"68";"2";"4";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"540";"202";"358";"275";"84";"5";"14";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"188";"168";"142";"84";"46";"28";"13";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"102";"89";"64";"55";"11";"2";"1";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"337";"244";"206";"162";"164";"80";"4";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"121";"85";"5";"15";"34";"14";"5";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"5978";"3936";"2470";"3238";"1400";"349";"940";"50670"
