"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_tidak_pernah_pencatatan";"n_rtup_hanya_sesekali_pencatatan";"n_rtup_hanya_sebagian_pencatatan";"n_rtup_berkala_dan_lengkap_pencatatan";"jml_n_rtup";"n_rtup_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"2682";"110";"3";"7";"2802";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"2364";"18";"2";"7";"2391";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1709";"58";"0";"0";"1767";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1886";"5";"23";"12";"1926";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2105";"11";"9";"3";"2128";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2120";"25";"5";"4";"2154";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1293";"0";"0";"0";"1293";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"4305";"31";"7";"2";"4345";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"4495";"43";"8";"6";"4552";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1624";"18";"0";"0";"1642";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2040";"9";"6";"0";"2055";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1644";"4";"3";"2";"1653";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3270";"22";"10";"10";"3312";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1866";"2";"1";"0";"1869";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1270";"12";"6";"2";"1290";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1055";"1";"6";"4";"1066";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3643";"90";"34";"14";"3781";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2441";"20";"5";"12";"2478";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"2522";"29";"13";"11";"2575";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2483";"21";"44";"19";"2567";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2988";"24";"9";"3";"3024";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"49805";"553";"194";"118";"50670";"50670"
