"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_persentase_pendapatan_terhadap_total_0_25_persen";"n_rtup_persentase_pendapatan_terhadap_total_26_50_persen";"n_rtup_persentase_pendapatan_terhadap_total_51_75_persen";"n_rtup_persentase_pendapatan_terhadap_total_76_99_persen";"n_rtup_persentase_pendapatan_terhadap_total_100_persen";"jml_n_rtup";"n_rtup_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"75";"200";"340";"429";"1758";"2802";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"20";"123";"295";"320";"1633";"2391";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"27";"54";"65";"118";"1503";"1767";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"506";"197";"126";"271";"826";"1926";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"82";"139";"175";"438";"1294";"2128";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"94";"141";"192";"164";"1563";"2154";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"63";"83";"86";"1055";"1293";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"135";"223";"293";"364";"3330";"4345";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"507";"292";"292";"478";"2983";"4552";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"86";"54";"42";"119";"1341";"1642";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"552";"316";"122";"108";"957";"2055";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"57";"75";"251";"792";"478";"1653";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"723";"349";"280";"327";"1633";"3312";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"32";"87";"117";"430";"1203";"1869";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"325";"144";"120";"133";"568";"1290";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"128";"152";"221";"337";"228";"1066";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"496";"573";"467";"483";"1762";"3781";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"231";"89";"79";"125";"1954";"2478";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"614";"283";"191";"198";"1289";"2575";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"612";"205";"134";"141";"1475";"2567";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"453";"508";"345";"203";"1515";"3024";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"5761";"4267";"4230";"6064";"30348";"50670";"50670"
