"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_dapat_bantuan_usaha_tani";"n_utp_dapat_bantuan_usaha_tani_berupa_pupuk_subsidi";"n_utp_dapat_bantuan_usaha_tani_berupa_sarana_peralatan_subsidi";"n_utp_dapat_bantuan_usaha_tani_berupa_bibit";"n_utp_dapat_bantuan_usaha_tani_berupa_pakan";"n_utp_dapat_bantuan_usaha_tani_berupa_lainnya";"n_utp_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"335";"188";"2";"197";"1";"8";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"766";"543";"8";"323";"3";"0";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"818";"251";"3";"661";"4";"1";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"140";"70";"33";"44";"5";"81";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"102";"25";"5";"77";"2";"2";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"106";"12";"1";"92";"0";"3";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"47";"7";"1";"45";"0";"0";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1598";"1388";"82";"610";"6";"9";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"655";"519";"11";"203";"1";"11";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"355";"269";"1";"173";"2";"10";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"275";"82";"14";"206";"7";"1";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"203";"170";"1";"45";"0";"5";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"184";"95";"5";"128";"5";"1";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"674";"565";"14";"144";"0";"0";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"54";"10";"1";"43";"1";"0";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"153";"113";"1";"133";"0";"0";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1332";"1224";"18";"344";"13";"5";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"983";"846";"16";"393";"1";"0";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"255";"129";"12";"119";"0";"7";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"361";"316";"40";"39";"3";"1";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"120";"78";"20";"28";"1";"1";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"9516";"6900";"289";"4047";"55";"146";"53688"
