"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310010] PAGA";"53";"5310";"5310010";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310020] LELA";"53";"5310";"5310020";"9";"0";"0";"0";"0";"0";"3";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310030] BOLA";"53";"5310";"5310030";"2";"0";"0";"1";"0";"0";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310031] DORENG";"53";"5310";"5310031";"3";"0";"0";"0";"0";"0";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310041] WAIGETE";"53";"5310";"5310041";"20";"0";"0";"2";"0";"0";"1";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310050] KEWAPANTE";"53";"5310";"5310050";"29";"0";"0";"0";"0";"0";"0";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"0";"0";"0";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310052] KANGAE";"53";"5310";"5310052";"12";"0";"0";"0";"0";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310062] KOTING";"53";"5310";"5310062";"3";"0";"0";"0";"0";"0";"1";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310070] NITA";"53";"5310";"5310070";"20";"0";"0";"0";"0";"0";"6";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310071] MAGEPANDA";"53";"5310";"5310071";"25";"0";"0";"0";"0";"0";"4";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310080] ALOK";"53";"5310";"5310080";"3";"0";"0";"0";"0";"0";"1";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"0";"0";"0";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2432";"[5310] SIKKA";"53";"5310";"5310999";"133";"0";"0";"4";"0";"0";"19";"153"
