"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310012] TANA WAWO";"53";"5310";"5310012";"6";"0";"0";"1";"0";"0";"43";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310030] BOLA";"53";"5310";"5310030";"4";"0";"0";"3";"0";"0";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310031] DORENG";"53";"5310";"5310031";"17";"0";"0";"13";"0";"0";"28";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310032] MAPITARA";"53";"5310";"5310032";"12";"0";"0";"3";"0";"0";"63";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"37";"0";"0";"22";"0";"4";"15";"57"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310070] NITA";"53";"5310";"5310070";"30";"0";"0";"26";"0";"0";"19";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2603_2605";"[5310] SIKKA";"53";"5310";"5310999";"107";"0";"0";"68";"0";"4";"179";"301"
