"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"n_utp_seluruhnya_dijual";"n_utp_sebagian_besar_dijual";"n_utp_sebagian_besar_dikonsumsi_sendiri";"n_utp_seluruhnya_dikonsumsi_sendiri";"n_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310010] PAGA";"53";"5310";"5310010";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310011] MEGO";"53";"5310";"5310011";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310012] TANA WAWO";"53";"5310";"5310012";"15";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310020] LELA";"53";"5310";"5310020";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310030] BOLA";"53";"5310";"5310030";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310031] DORENG";"53";"5310";"5310031";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310032] MAPITARA";"53";"5310";"5310032";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310040] TALIBURA";"53";"5310";"5310040";"15";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310041] WAIGETE";"53";"5310";"5310041";"15";"7";"120";"5";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310042] WAIBLAMA";"53";"5310";"5310042";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310050] KEWAPANTE";"53";"5310";"5310050";"15";"7";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310052] KANGAE";"53";"5310";"5310052";"15";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310061] PALUE";"53";"5310";"5310061";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310062] KOTING";"53";"5310";"5310062";"15";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310063] NELLE";"53";"5310";"5310063";"15";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310070] NITA";"53";"5310";"5310070";"15";"1";"1";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310071] MAGEPANDA";"53";"5310";"5310071";"15";"3";"5";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310080] ALOK";"53";"5310";"5310080";"15";"0";"0";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310081] ALOK BARAT";"53";"5310";"5310081";"15";"2";"0";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"15";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310] SIKKA";"53";"5310";"5310999";"15";"20";"128";"19";"0";"4"
