"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310010] PAGA";"53";"5310";"5310010";"21";"0";"0";"21";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310011] MEGO";"53";"5310";"5310011";"84";"0";"0";"84";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310012] TANA WAWO";"53";"5310";"5310012";"109";"0";"0";"109";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310020] LELA";"53";"5310";"5310020";"30";"0";"0";"30";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310030] BOLA";"53";"5310";"5310030";"15";"0";"0";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310031] DORENG";"53";"5310";"5310031";"15";"0";"0";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310040] TALIBURA";"53";"5310";"5310040";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310041] WAIGETE";"53";"5310";"5310041";"18";"0";"0";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310042] WAIBLAMA";"53";"5310";"5310042";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310050] KEWAPANTE";"53";"5310";"5310050";"18";"0";"0";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310062] KOTING";"53";"5310";"5310062";"18";"0";"0";"18";"18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310070] NITA";"53";"5310";"5310070";"212";"0";"0";"212";"212"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310071] MAGEPANDA";"53";"5310";"5310071";"28";"0";"0";"28";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310080] ALOK";"53";"5310";"5310080";"13";"0";"0";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310081] ALOK BARAT";"53";"5310";"5310081";"15";"0";"0";"15";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310] SIKKA";"53";"5310";"5310999";"632";"0";"0";"632";"632"
