"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310020] LELA";"53";"5310";"5310020";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310041] WAIGETE";"53";"5310";"5310041";"120";"2";"2";"2";"124"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"3";"1";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310062] KOTING";"53";"5310";"5310062";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310070] NITA";"53";"5310";"5310070";"2";"1";"1";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"0";"0";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310080] ALOK";"53";"5310";"5310080";"1";"2";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"2";"1";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1212";"[5310] SIKKA";"53";"5310";"5310999";"140";"15";"6";"2";"161"
