"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_dipanen_sendiri";"n_rtup_diijonkan";"n_rtup_ditebaskan";"n_rtup_belum_panen_habis";"n_rtup_puso";"n_rtup_tidak_panen";"n_rtup_belum_panen";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310031] DORENG";"53";"5310";"5310031";"16";"0";"0";"2";"0";"0";"23";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310032] MAPITARA";"53";"5310";"5310032";"9";"0";"0";"0";"0";"0";"4";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310070] NITA";"53";"5310";"5310070";"170";"0";"0";"12";"2";"0";"47";"187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2439";"[5310] SIKKA";"53";"5310";"5310999";"196";"0";"0";"14";"2";"0";"78";"233"
