"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_seluruhnya_dijual";"n_rtup_sebagian_besar_dijual";"n_rtup_sebagian_besar_dikonsumsi_sendiri";"n_rtup_seluruhnya_dikonsumsi_sendiri";"n_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310010] PAGA";"53";"5310";"5310010";"7";"14";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310011] MEGO";"53";"5310";"5310011";"45";"19";"3";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"87";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310020] LELA";"53";"5310";"5310020";"7";"6";"4";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310030] BOLA";"53";"5310";"5310030";"11";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310031] DORENG";"53";"5310";"5310031";"3";"9";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"3";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310041] WAIGETE";"53";"5310";"5310041";"6";"7";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"2";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310050] KEWAPANTE";"53";"5310";"5310050";"9";"7";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"5";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310052] KANGAE";"53";"5310";"5310052";"3";"1";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310062] KOTING";"53";"5310";"5310062";"9";"5";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310070] NITA";"53";"5310";"5310070";"37";"128";"5";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310071] MAGEPANDA";"53";"5310";"5310071";"9";"14";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310080] ALOK";"53";"5310";"5310080";"1";"8";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310081] ALOK BARAT";"53";"5310";"5310081";"7";"7";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"4";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2410_2413";"[5310] SIKKA";"53";"5310";"5310999";"160";"328";"26";"0";"4"
