"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310010] PAGA";"53";"5310";"5310010";"66150735";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310011] MEGO";"53";"5310";"5310011";"56700474";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310012] TANA WAWO";"53";"5310";"5310012";"47250285";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310020] LELA";"53";"5310";"5310020";"42525171";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310030] BOLA";"53";"5310";"5310030";"37800084";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310031] DORENG";"53";"5310";"5310031";"42525018";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310032] MAPITARA";"53";"5310";"5310032";"18899982";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310040] TALIBURA";"53";"5310";"5310040";"94498042";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310041] WAIGETE";"53";"5310";"5310041";"51973020";"15";"0";"0";"15";"15";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310042] WAIBLAMA";"53";"5310";"5310042";"33073677";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310050] KEWAPANTE";"53";"5310";"5310050";"42523227";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"33073565";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310052] KANGAE";"53";"5310";"5310052";"42523083";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310061] PALUE";"53";"5310";"5310061";"37798228";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310062] KOTING";"53";"5310";"5310062";"33073397";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310063] NELLE";"53";"5310";"5310063";"23623825";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310070] NITA";"53";"5310";"5310070";"70873545";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310071] MAGEPANDA";"53";"5310";"5310071";"37799132";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310080] ALOK";"53";"5310";"5310080";"33074188";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310081] ALOK BARAT";"53";"5310";"5310081";"18899514";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"51973581";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2136";"[5310] SIKKA";"53";"5310";"5310999";"916631773";"36";"0";"0";"36";"36";"0";"36"
