"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310010] PAGA";"53";"5310";"5310010";"87429237";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310011] MEGO";"53";"5310";"5310011";"74939190";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310012] TANA WAWO";"53";"5310";"5310012";"62449215";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310020] LELA";"53";"5310";"5310020";"56204208";"2";"25";"0";"0";"27";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310030] BOLA";"53";"5310";"5310030";"49959228";"0";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310031] DORENG";"53";"5310";"5310031";"56203922";"0";"11";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310032] MAPITARA";"53";"5310";"5310032";"24979022";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310040] TALIBURA";"53";"5310";"5310040";"124894870";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310041] WAIGETE";"53";"5310";"5310041";"68692008";"0";"0";"0";"1";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310042] WAIBLAMA";"53";"5310";"5310042";"43713033";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310050] KEWAPANTE";"53";"5310";"5310050";"56202399";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"43712921";"0";"24";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310052] KANGAE";"53";"5310";"5310052";"56202521";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310061] PALUE";"53";"5310";"5310061";"49958556";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310062] KOTING";"53";"5310";"5310062";"43713684";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310063] NELLE";"53";"5310";"5310063";"31224030";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310070] NITA";"53";"5310";"5310070";"93671940";"0";"22";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310071] MAGEPANDA";"53";"5310";"5310071";"49958276";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310080] ALOK";"53";"5310";"5310080";"43713439";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310081] ALOK BARAT";"53";"5310";"5310081";"24979086";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"68692404";"0";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310] SIKKA";"53";"5310";"5310999";"1211493189";"3";"100";"0";"1";"104";"104"
