"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310010] PAGA";"53";"5310";"5310010";"7974789";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310011] MEGO";"53";"5310";"5310011";"6836622";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310012] TANA WAWO";"53";"5310";"5310012";"5697075";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310020] LELA";"53";"5310";"5310020";"5127282";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310030] BOLA";"53";"5310";"5310030";"4557516";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310031] DORENG";"53";"5310";"5310031";"5127129";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310032] MAPITARA";"53";"5310";"5310032";"2278698";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310040] TALIBURA";"53";"5310";"5310040";"11397969";"7";"7";"0";"3";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310041] WAIGETE";"53";"5310";"5310041";"6270110";"0";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3990007";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5129937";"2";"4";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3989895";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310052] KANGAE";"53";"5310";"5310052";"5129793";"1";"4";"1";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310061] PALUE";"53";"5310";"5310061";"4560232";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310062] KOTING";"53";"5310";"5310062";"3990574";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310063] NELLE";"53";"5310";"5310063";"2850380";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310070] NITA";"53";"5310";"5310070";"8550990";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"4560436";"1";"1";"0";"1";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310080] ALOK";"53";"5310";"5310080";"3990329";"7";"1";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2280166";"2";"1";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6270374";"1";"3";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310] SIKKA";"53";"5310";"5310999";"110560303";"23";"41";"1";"4";"69";"69"
