"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310010] PAGA";"53";"5310";"5310010";"123933299";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310011] MEGO";"53";"5310";"5310011";"106227792";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310012] TANA WAWO";"53";"5310";"5310012";"88517605";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310020] LELA";"53";"5310";"5310020";"79665759";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310030] BOLA";"53";"5310";"5310030";"70813940";"0";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310031] DORENG";"53";"5310";"5310031";"79665606";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310032] MAPITARA";"53";"5310";"5310032";"35406910";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310040] TALIBURA";"53";"5310";"5310040";"177034548";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310041] WAIGETE";"53";"5310";"5310041";"97370009";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310042] WAIBLAMA";"53";"5310";"5310042";"61962670";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310050] KEWAPANTE";"53";"5310";"5310050";"79666218";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"61962558";"0";"1";"0";"0";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310052] KANGAE";"53";"5310";"5310052";"79666074";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310061] PALUE";"53";"5310";"5310061";"70814220";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310062] KOTING";"53";"5310";"5310062";"61962390";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310063] NELLE";"53";"5310";"5310063";"44258230";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310070] NITA";"53";"5310";"5310070";"132774540";"1";"27";"0";"0";"28";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310071] MAGEPANDA";"53";"5310";"5310071";"70812996";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310080] ALOK";"53";"5310";"5310080";"61961319";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310081] ALOK BARAT";"53";"5310";"5310081";"35406446";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"97367644";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2159";"[5310] SIKKA";"53";"5310";"5310999";"1717250773";"1";"39";"0";"0";"40";"41"
