"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310010] PAGA";"53";"5310";"5310010";"3484971";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310011] MEGO";"53";"5310";"5310011";"2986962";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310012] TANA WAWO";"53";"5310";"5310012";"2489025";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310020] LELA";"53";"5310";"5310020";"2240037";"3";"48";"0";"0";"51";"51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310030] BOLA";"53";"5310";"5310030";"1991433";"0";"7";"0";"0";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310031] DORENG";"53";"5310";"5310031";"2240955";"1";"87";"0";"0";"88";"88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310032] MAPITARA";"53";"5310";"5310032";"995954";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310040] TALIBURA";"53";"5310";"5310040";"4979530";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310041] WAIGETE";"53";"5310";"5310041";"2738571";"0";"1";"1";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1742664";"0";"0";"1";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2240139";"1";"1";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1741719";"1";"23";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310052] KANGAE";"53";"5310";"5310052";"2239281";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310061] PALUE";"53";"5310";"5310061";"1990404";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310062] KOTING";"53";"5310";"5310062";"1741551";"2";"20";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310063] NELLE";"53";"5310";"5310063";"1243935";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310070] NITA";"53";"5310";"5310070";"3731655";"1";"35";"0";"0";"36";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1990481";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310080] ALOK";"53";"5310";"5310080";"1742139";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310081] ALOK BARAT";"53";"5310";"5310081";"995486";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2737504";"0";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310] SIKKA";"53";"5310";"5310999";"48284396";"9";"230";"2";"0";"241";"241"
