"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310010] PAGA";"53";"5310";"5310010";"13320475";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310011] MEGO";"53";"5310";"5310011";"11417394";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310012] TANA WAWO";"53";"5310";"5310012";"9514385";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310020] LELA";"53";"5310";"5310020";"8562861";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310030] BOLA";"53";"5310";"5310030";"7611364";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310031] DORENG";"53";"5310";"5310031";"8562232";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310032] MAPITARA";"53";"5310";"5310032";"3805146";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310040] TALIBURA";"53";"5310";"5310040";"19025490";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310041] WAIGETE";"53";"5310";"5310041";"10463849";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6658750";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"8561178";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"6658995";"1";"10";"1";"0";"30";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310052] KANGAE";"53";"5310";"5310052";"8562105";"1";"0";"1";"0";"50";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310061] PALUE";"53";"5310";"5310061";"7610692";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310062] KOTING";"53";"5310";"5310062";"6659303";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310063] NELLE";"53";"5310";"5310063";"4756615";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310070] NITA";"53";"5310";"5310070";"14269695";"1";"0";"2";"0";"10";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7610412";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310080] ALOK";"53";"5310";"5310080";"6661674";"1";"0";"1";"0";"105";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3810386";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10478479";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2104";"[5310] SIKKA";"53";"5310";"5310999";"184581480";"4";"10";"5";"0";"195";"485"
