"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310010] PAGA";"53";"5310";"5310010";"131709543";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310011] MEGO";"53";"5310";"5310011";"112893738";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310012] TANA WAWO";"53";"5310";"5310012";"94078005";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310020] LELA";"53";"5310";"5310020";"84670119";"50";"0";"670";"0";"13905.8";"18742"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310030] BOLA";"53";"5310";"5310030";"75261784";"7";"12";"26";"0";"135";"3305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310031] DORENG";"53";"5310";"5310031";"84668895";"87";"137";"3257";"341";"14107";"97627"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310032] MAPITARA";"53";"5310";"5310032";"37630594";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310040] TALIBURA";"53";"5310";"5310040";"188152730";"1";"200";"100";"0";"180";"3000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310041] WAIGETE";"53";"5310";"5310041";"103483831";"2";"0";"17";"10";"115";"1090"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310042] WAIBLAMA";"53";"5310";"5310042";"65853284";"1";"10";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310050] KEWAPANTE";"53";"5310";"5310050";"84669031";"2";"58";"32";"0";"14";"280"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"65854005";"24";"45";"432";"66";"1084.4";"7854"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310052] KANGAE";"53";"5310";"5310052";"84669363";"2";"0";"67";"0";"112";"400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310061] PALUE";"53";"5310";"5310061";"75261588";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310062] KOTING";"53";"5310";"5310062";"65853837";"22";"41";"286";"91";"1818.6";"6910"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310063] NELLE";"53";"5310";"5310063";"47038425";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310070] NITA";"53";"5310";"5310070";"141115125";"36";"140";"459";"5";"1654";"16842"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310071] MAGEPANDA";"53";"5310";"5310071";"75262736";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310080] ALOK";"53";"5310";"5310080";"65856091";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310081] ALOK BARAT";"53";"5310";"5310081";"37632030";"1";"0";"4";"0";"45";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"103488000";"4";"4";"21";"4";"39";"470"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310] SIKKA";"53";"5310";"5310999";"1825102754";"239";"647";"5371";"517";"33209.8";"156970"
