"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310010] PAGA";"53";"5310";"5310010";"7";"1";"5236207";"0";"3";"0";"44";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310012] TANA WAWO";"53";"5310";"5310012";"7";"1";"5236188";"0";"15";"0";"665";"750"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310020] LELA";"53";"5310";"5310020";"7";"1";"5236177";"2";"5";"0";"50";"750"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310030] BOLA";"53";"5310";"5310030";"7";"1";"5236165";"0";"8";"0";"87";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310031] DORENG";"53";"5310";"5310031";"7";"1";"5233832";"8";"5";"0";"41";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310040] TALIBURA";"53";"5310";"5310040";"7";"1";"20935267";"50";"183";"0";"1627";"4275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310042] WAIBLAMA";"53";"5310";"5310042";"7";"1";"5233792";"4";"8";"0";"24";"120"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310050] KEWAPANTE";"53";"5310";"5310050";"7";"1";"5233893";"0";"11";"0";"53";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"7";"1";"10467770";"18";"16";"0";"501";"1110"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310052] KANGAE";"53";"5310";"5310052";"7";"1";"5233876";"45";"20";"0";"124";"1500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310070] NITA";"53";"5310";"5310070";"7";"1";"31405978";"10";"61";"0";"6200";"36070"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310071] MAGEPANDA";"53";"5310";"5310071";"7";"1";"15704177";"28";"9";"0";"60";"380"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310080] ALOK";"53";"5310";"5310080";"7";"1";"15701154";"1";"11";"0";"131";"500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310081] ALOK BARAT";"53";"5310";"5310081";"7";"1";"5233713";"1";"1";"0";"12";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"7";"1";"26171560";"41";"139";"0";"1693.26";"88180"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2156";"[5310] SIKKA";"53";"5310";"5310999";"7";"1";"167499749";"208";"495";"0";"11312.26";"134145"
