"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310012] TANA WAWO";"53";"5310";"5310012";"5";"1";"5780013";"150";"500";"0";"300";"7500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310020] LELA";"53";"5310";"5310020";"5";"1";"11559787";"0";"17";"10";"25";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"1";"5779872";"15";"50";"0";"30";"900"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310040] TALIBURA";"53";"5310";"5310040";"5";"1";"5779868";"0";"1";"0";"1";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"1";"5779848";"0";"30";"0";"22";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"5";"1";"11558460";"10";"10";"0";"60";"600"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310052] KANGAE";"53";"5310";"5310052";"5";"1";"5779917";"0";"1";"0";"50";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310070] NITA";"53";"5310";"5310070";"5";"1";"5780224";"0";"2";"0";"10";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310080] ALOK";"53";"5310";"5310080";"5";"1";"5780205";"0";"1";"0";"105";"175"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"1";"11560395";"0";"13";"0";"103";"2030"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2104_2107";"[5310] SIKKA";"53";"5310";"5310999";"5";"1";"75138589";"175";"625";"10";"706";"11952"
