"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310012] TANA WAWO";"53";"5310";"5310012";"10";"1";"1200108";"0";"12";"0";"30";"250"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310020] LELA";"53";"5310";"5310020";"10";"1";"3600284";"0";"228";"0";"218";"23650"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310030] BOLA";"53";"5310";"5310030";"10";"1";"2400120";"1";"19";"0";"395";"4650"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310031] DORENG";"53";"5310";"5310031";"10";"1";"1200084";"0";"235";"0";"718";"5680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310040] TALIBURA";"53";"5310";"5310040";"10";"1";"1199971";"10";"3";"0";"1";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310041] WAIGETE";"53";"5310";"5310041";"10";"1";"1199951";"0";"3";"0";"1";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10";"1";"1199933";"0";"5";"0";"100";"1000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"10";"1";"2400039";"2";"139";"0";"264";"4644"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310062] KOTING";"53";"5310";"5310062";"10";"1";"2400123";"0";"13";"0";"47.3";"900"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310070] NITA";"53";"5310";"5310070";"10";"1";"3601018";"0";"162";"0";"418";"12090"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310081] ALOK BARAT";"53";"5310";"5310081";"10";"1";"1201041";"0";"1";"0";"2";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10";"1";"1200123";"0";"25";"0";"10";"250"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2513";"[5310] SIKKA";"53";"5310";"5310999";"10";"1";"22802795";"13";"845";"0";"2204.3";"53374"
