"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310010] PAGA";"53";"5310";"5310010";"41";"0";"0";"41";"41";"0";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310011] MEGO";"53";"5310";"5310011";"289";"0";"0";"289";"289";"0";"289"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310012] TANA WAWO";"53";"5310";"5310012";"80";"0";"0";"80";"80";"0";"80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310020] LELA";"53";"5310";"5310020";"72";"0";"0";"72";"72";"0";"72"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310030] BOLA";"53";"5310";"5310030";"686";"0";"3";"689";"689";"3";"689"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310031] DORENG";"53";"5310";"5310031";"405";"0";"1";"406";"406";"1";"406"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310032] MAPITARA";"53";"5310";"5310032";"241";"0";"0";"241";"241";"0";"241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310040] TALIBURA";"53";"5310";"5310040";"36";"0";"0";"36";"36";"0";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310041] WAIGETE";"53";"5310";"5310041";"110";"0";"0";"110";"110";"0";"110"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"12";"0";"0";"12";"12";"0";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"39";"0";"0";"39";"39";"0";"39"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"212";"0";"0";"212";"212";"0";"212"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310052] KANGAE";"53";"5310";"5310052";"179";"0";"0";"179";"179";"0";"179"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310061] PALUE";"53";"5310";"5310061";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310062] KOTING";"53";"5310";"5310062";"61";"0";"0";"61";"61";"0";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310070] NITA";"53";"5310";"5310070";"291";"0";"0";"291";"291";"0";"291"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310080] ALOK";"53";"5310";"5310080";"1";"1";"0";"2";"1";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"28";"0";"0";"28";"28";"0";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3123";"[5310] SIKKA";"53";"5310";"5310999";"2792";"1";"4";"2797";"2796";"5";"2797"
