"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310010] PAGA";"53";"5310";"5310010";"7";"9";"0";"0";"16";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310011] MEGO";"53";"5310";"5310011";"8";"281";"0";"1";"290";"290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310012] TANA WAWO";"53";"5310";"5310012";"33";"511";"0";"2";"546";"546"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310020] LELA";"53";"5310";"5310020";"0";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310030] BOLA";"53";"5310";"5310030";"1";"133";"1";"7";"142";"141"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310031] DORENG";"53";"5310";"5310031";"0";"100";"0";"0";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"24";"0";"1";"25";"25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"42";"19";"21";"84";"84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"43";"1";"11";"56";"56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"3";"2";"4";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"5";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2";"95";"3";"0";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310052] KANGAE";"53";"5310";"5310052";"1";"44";"1";"0";"46";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310061] PALUE";"53";"5310";"5310061";"0";"35";"0";"0";"35";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310062] KOTING";"53";"5310";"5310062";"0";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310063] NELLE";"53";"5310";"5310063";"1";"1";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310070] NITA";"53";"5310";"5310070";"1";"47";"0";"1";"49";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"1";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"29";"0";"0";"30";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310] SIKKA";"53";"5310";"5310999";"60";"1412";"27";"48";"1547";"1546"
