"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"jumlah_tanaman_belum_menghasilkan";"jumlah_tanaman_menghasilkan";"jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai";"produktivitas"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310010] PAGA";"53";"5310";"5310010";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310011] MEGO";"53";"5310";"5310011";"4";"116";"783";"100";"1514";"55800";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310012] TANA WAWO";"53";"5310";"5310012";"6";"0";"251";"0";"424";"12555";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310020] LELA";"53";"5310";"5310020";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310030] BOLA";"53";"5310";"5310030";"1";"5";"25";"0";"100";"300";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310031] DORENG";"53";"5310";"5310031";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310032] MAPITARA";"53";"5310";"5310032";"4";"0";"75";"0";"2768";"8736";"37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310040] TALIBURA";"53";"5310";"5310040";"3";"16";"87";"0";"150";"2865";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310041] WAIGETE";"53";"5310";"5310041";"4";"16";"84";"12";"241";"4510";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310042] WAIBLAMA";"53";"5310";"5310042";"15";"26";"161";"3";"772";"12552";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310052] KANGAE";"53";"5310";"5310052";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310061] PALUE";"53";"5310";"5310061";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310062] KOTING";"53";"5310";"5310062";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310070] NITA";"53";"5310";"5310070";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310081] ALOK BARAT";"53";"5310";"5310081";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"11";"26";"0";"485";"13850";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3115";"[5310] SIKKA";"53";"5310";"5310999";"43";"190";"1492";"115";"6454";"111168";"4"
