"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_panen_sendiri";"n_utp_ijon";"n_utp_tebas";"n_utp_tdk_panen";"n_utp_blm_panen"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310010] PAGA";"53";"5310";"5310010";"2";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310011] MEGO";"53";"5310";"5310011";"3";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310020] LELA";"53";"5310";"5310020";"8";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310030] BOLA";"53";"5310";"5310030";"96";"0";"0";"6";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310031] DORENG";"53";"5310";"5310031";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310040] TALIBURA";"53";"5310";"5310040";"9";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310052] KANGAE";"53";"5310";"5310052";"3";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310062] KOTING";"53";"5310";"5310062";"20";"0";"0";"2";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310070] NITA";"53";"5310";"5310070";"129";"0";"0";"1";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3120";"[5310] SIKKA";"53";"5310";"5310999";"284";"0";"0";"9";"63"
