"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310010] PAGA";"53";"5310";"5310010";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310011] MEGO";"53";"5310";"5310011";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310012] TANA WAWO";"53";"5310";"5310012";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310020] LELA";"53";"5310";"5310020";"68.29";"31.71";"0.00";"2.44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310030] BOLA";"53";"5310";"5310030";"98.32";"0.42";"0.21";"1.05"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310031] DORENG";"53";"5310";"5310031";"98.02";"1.89";"0.00";"0.34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310032] MAPITARA";"53";"5310";"5310032";"98.31";"0.00";"0.00";"1.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310040] TALIBURA";"53";"5310";"5310040";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310041] WAIGETE";"53";"5310";"5310041";"88.45";"11.55";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310050] KEWAPANTE";"53";"5310";"5310050";"98.08";"1.92";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"99.07";"1.03";"0.00";"0.10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310052] KANGAE";"53";"5310";"5310052";"89.47";"5.26";"2.63";"2.63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310061] PALUE";"53";"5310";"5310061";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310062] KOTING";"53";"5310";"5310062";"54.55";"45.45";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310070] NITA";"53";"5310";"5310070";"84.00";"14.00";"2.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310080] ALOK";"53";"5310";"5310080";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310081] ALOK BARAT";"53";"5310";"5310081";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"97.62";"2.38";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310] SIKKA";"53";"5310";"5310999";"96.28";"3.36";"0.15";"0.39"
