"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_selain_ternak_besar_tujuan_pengembangbiakan";"n_rtup_selain_ternak_besar_tujuan_penggemukan";"n_rtup_selain_ternak_besar_tujuan_pembibitan";"n_rtup_selain_ternak_besar_tujuan_pembesaran";"n_rtup_selain_ternak_besar_tujuan_produksi";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310010] PAGA";"53";"5310";"5310010";"91";"0";"0";"0";"0";"91";"91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310011] MEGO";"53";"5310";"5310011";"45";"0";"0";"0";"0";"45";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310012] TANA WAWO";"53";"5310";"5310012";"23";"0";"0";"0";"0";"23";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310020] LELA";"53";"5310";"5310020";"22";"0";"0";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310030] BOLA";"53";"5310";"5310030";"13";"0";"0";"0";"0";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310031] DORENG";"53";"5310";"5310031";"6";"0";"0";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310040] TALIBURA";"53";"5310";"5310040";"43";"0";"0";"0";"0";"43";"43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310041] WAIGETE";"53";"5310";"5310041";"42";"0";"0";"0";"0";"42";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310050] KEWAPANTE";"53";"5310";"5310050";"29";"0";"0";"0";"0";"29";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"9";"0";"0";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310052] KANGAE";"53";"5310";"5310052";"62";"0";"0";"0";"0";"62";"62"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310061] PALUE";"53";"5310";"5310061";"2";"0";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310062] KOTING";"53";"5310";"5310062";"13";"0";"0";"0";"0";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310063] NELLE";"53";"5310";"5310063";"20";"0";"0";"0";"0";"20";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310070] NITA";"53";"5310";"5310070";"32";"0";"0";"0";"0";"32";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310071] MAGEPANDA";"53";"5310";"5310071";"86";"0";"0";"0";"0";"86";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310080] ALOK";"53";"5310";"5310080";"100";"0";"0";"0";"0";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310081] ALOK BARAT";"53";"5310";"5310081";"52";"0";"0";"0";"0";"52";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"78";"0";"0";"0";"0";"78";"78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4305";"[5310] SIKKA";"53";"5310";"5310999";"768";"0";"0";"0";"0";"768";"768"
