"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksi_daging";"n_rtup_usaha_selain_ternak_besar_produksi_susu_segar";"n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi";"n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas";"n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak";"n_rtup_usaha_selain_ternak_besar_produksi_embrio";"n_rtup_usaha_selain_ternak_besar_produksi_madu";"n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang";"n_rtup_usaha_selain_ternak_besar_produksi_bulu";"n_rtup_usaha_selain_ternak_besar_produksi_kepompong";"n_rtup_usaha_selain_ternak_besar_produksi_kulit";"n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310010] PAGA";"53";"5310";"5310010";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310011] MEGO";"53";"5310";"5310011";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310030] BOLA";"53";"5310";"5310030";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310031] DORENG";"53";"5310";"5310031";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310040] TALIBURA";"53";"5310";"5310040";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310050] KEWAPANTE";"53";"5310";"5310050";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310052] KANGAE";"53";"5310";"5310052";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310080] ALOK";"53";"5310";"5310080";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4412";"[5310] SIKKA";"53";"5310";"5310999";"177";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"177";"177"
