"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_rtup_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_rtup_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310010] PAGA";"53";"5310";"5310010";"60";"32";"11";"404";"507";"507"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310011] MEGO";"53";"5310";"5310011";"74";"24";"16";"467";"581";"581"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310012] TANA WAWO";"53";"5310";"5310012";"74";"45";"54";"223";"396";"396"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310020] LELA";"53";"5310";"5310020";"37";"32";"5";"397";"471";"471"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310030] BOLA";"53";"5310";"5310030";"118";"30";"20";"532";"700";"700"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310031] DORENG";"53";"5310";"5310031";"106";"59";"28";"466";"659";"659"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310032] MAPITARA";"53";"5310";"5310032";"6";"30";"65";"263";"364";"364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310040] TALIBURA";"53";"5310";"5310040";"234";"61";"13";"838";"1146";"1146"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310041] WAIGETE";"53";"5310";"5310041";"125";"123";"73";"666";"987";"987"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310042] WAIBLAMA";"53";"5310";"5310042";"36";"15";"2";"289";"342";"342"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310050] KEWAPANTE";"53";"5310";"5310050";"154";"101";"8";"379";"642";"642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"30";"42";"29";"346";"447";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310052] KANGAE";"53";"5310";"5310052";"234";"160";"32";"679";"1105";"1105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310061] PALUE";"53";"5310";"5310061";"23";"148";"66";"84";"321";"321"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310062] KOTING";"53";"5310";"5310062";"42";"38";"9";"215";"304";"304"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310063] NELLE";"53";"5310";"5310063";"77";"52";"17";"257";"403";"403"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310070] NITA";"53";"5310";"5310070";"156";"106";"7";"657";"926";"926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310071] MAGEPANDA";"53";"5310";"5310071";"137";"110";"12";"514";"773";"773"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310080] ALOK";"53";"5310";"5310080";"361";"73";"36";"347";"817";"817"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310081] ALOK BARAT";"53";"5310";"5310081";"264";"70";"14";"376";"724";"724"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"504";"238";"34";"406";"1182";"1182"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4201";"[5310] SIKKA";"53";"5310";"5310999";"2852";"1589";"551";"8805";"13797";"13797"
