"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_usaha_selain_ternak_besar_produksinya_seluruhnya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sebagian_besar_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_sisanya_dijual";"n_utp_usaha_selain_ternak_besar_produksinya_belum_dijual";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310010] PAGA";"53";"5310";"5310010";"1";"1";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310011] MEGO";"53";"5310";"5310011";"3";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310020] LELA";"53";"5310";"5310020";"3";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310030] BOLA";"53";"5310";"5310030";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310031] DORENG";"53";"5310";"5310031";"1";"0";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"0";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"2";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310052] KANGAE";"53";"5310";"5310052";"5";"0";"0";"1";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310062] KOTING";"53";"5310";"5310062";"3";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310063] NELLE";"53";"5310";"5310063";"0";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310070] NITA";"53";"5310";"5310070";"13";"11";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2";"0";"0";"1";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310080] ALOK";"53";"5310";"5310080";"4";"2";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310081] ALOK BARAT";"53";"5310";"5310081";"8";"4";"0";"0";"12";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"6";"2";"1";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4302";"[5310] SIKKA";"53";"5310";"5310999";"53";"26";"1";"2";"82";"82"
