"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya_tanaman_kehutanan";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_kurang_2_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_2_sampai_4_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_4_sampai_6_thn";"n_rtup_budidaya_tanaman_kehutanan_umur_tanaman_lebih_6_thn"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310010] PAGA";"53";"5310";"5310010";"401";"24";"81";"122";"198"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310011] MEGO";"53";"5310";"5310011";"188";"14";"46";"62";"127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310012] TANA WAWO";"53";"5310";"5310012";"439";"46";"153";"147";"123"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310020] LELA";"53";"5310";"5310020";"40";"7";"7";"14";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310030] BOLA";"53";"5310";"5310030";"318";"53";"86";"98";"135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310031] DORENG";"53";"5310";"5310031";"248";"40";"74";"64";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310032] MAPITARA";"53";"5310";"5310032";"55";"9";"11";"19";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310040] TALIBURA";"53";"5310";"5310040";"1577";"363";"586";"599";"994"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310041] WAIGETE";"53";"5310";"5310041";"138";"31";"46";"26";"56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310042] WAIBLAMA";"53";"5310";"5310042";"371";"108";"149";"95";"138"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310050] KEWAPANTE";"53";"5310";"5310050";"219";"22";"53";"49";"109"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"310";"45";"82";"80";"123"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310052] KANGAE";"53";"5310";"5310052";"269";"57";"80";"100";"121"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310061] PALUE";"53";"5310";"5310061";"2";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310062] KOTING";"53";"5310";"5310062";"98";"11";"19";"24";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310063] NELLE";"53";"5310";"5310063";"32";"5";"5";"6";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310070] NITA";"53";"5310";"5310070";"695";"140";"202";"162";"339"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310071] MAGEPANDA";"53";"5310";"5310071";"23";"6";"5";"3";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310080] ALOK";"53";"5310";"5310080";"22";"4";"4";"2";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310081] ALOK BARAT";"53";"5310";"5310081";"8";"1";"1";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"54";"11";"10";"11";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6156";"[5310] SIKKA";"53";"5310";"5310999";"5507";"997";"1701";"1686";"2742"
